Object_ID,FIPS_Code,Land_Area,Water_Area,Name,State,County,Total_Housing_Units,Total_Housing_Units_ ME,Occupied_Housing_Units,Occupied_Housing_Units_ME,Vacant_Housing_Units,Vacant_Housing_Units_ME,Vacancy_Rate,Vacancy_Rate_ME,Percent_Owner_Occupied,Percent_Owner_Occupied_ME,Percent_Renter_Occupied,Percent_Renter_Occupied_ME,Total_Occupied_Housing_Units,Percent_Renter_Occupied_ME,Owner_Occupied_Housing_Units,Owner_Occupied_Housing_Units_ME,Renter_Occupied_Housing_Units,Renter_Occupied_Housing_Units_ME,Overall_Homeownership_Rate,Overall_Homeownership_Rate_ME,Overall_Renter_Rate,Overall_Renter_Rate_ME,Median_Contract_Rent,Median_Contract_Rent_ME,Median_Home_Value,Median_Home_Value_ME,Shape_Area,Shape_Length,Lower_Contract_Rent_Quartile,Lower_Contract_Rent_Quartile_ME,Upper_Contract_Rent_Quartile,Upper_Contract_Rent_Quartile_ME,Lower_Owner_Occupied_Home_Value_Quartile,Lower_Owner_Occupied_Home_Value_Quartile_ME,Upper_Owner_Occupied_Home_Value_Quartile,Upper_Owner_Occupied_Home_Value_Quartile_ME
2875,12001000902,2033894,16577,Census Tract 9.02,Florida,Alachua County,82,38,66,35,16,25,19.5,29.11604713,0,25.6097561,80.5,20.750902,66,35,0,21,66,35,0,31.81818182,100,74.99617376,723,21,,,2723995.594,7872.672715,696,30,749,76,,,,
2876,12001001000,5635555,17810,Census Tract 10,Florida,Alachua County,3424,342,2955,410,469,202,13.7,5.738699453,33.5,7.366908656,52.8,10.58583844,2955,410,1146,277,1809,405,38.8,7.675734596,61.2,10.75623475,1207,314,311700,41675,7512269.422,12987.03505,857,71,1726,192,257400,29320,391300,41651
2877,12001001100,7797946,0,Census Tract 11,Florida,Alachua County,3126,191,2871,246,255,142,8.2,4.5151196,64.5,5.360170997,27.3,5.577722346,2871,246,2017,208,854,182,70.3,4.031287806,29.7,5.804312348,1143,472,327600,25018,10365554.35,15314.73407,934,103,1929,309,233000,15569,441400,75223
2878,12001001201,2801196,5978,Census Tract 12.01,Florida,Alachua County,1475,256,1358,245,117,106,7.9,7.053339998,62.8,11.15463154,29.3,8.493363699,1358,245,926,230,432,146,68.2,11.64089256,31.8,9.091094255,949,132,245200,19398,3732988.463,8879.79852,590,172,1145,130,209600,11158,296600,28714
2879,12001001202,5862250,12288,Census Tract 12.02,Florida,Alachua County,3451,211,3246,228,205,139,5.9,4.011409161,67.8,5.144112082,26.3,6.826274993,3246,228,2340,228,906,242,72.1,4.868020299,27.9,7.1929406,1018,149,219600,8311,7811630.529,13414.17887,841,43,1325,303,181100,12013,254500,14477
2880,12001001203,3146999,527,Census Tract 12.03,Florida,Alachua County,1846,163,1761,164,85,68,4.6,3.66113381,40.3,8.669629318,55.1,7.498540042,1761,164,744,173,1017,165,42.2,9.001631193,57.8,7.67232569,1354,156,168400,28586,4184899.113,10516.47745,993,108,1682,109,112100,22866,225600,38735
2881,12001001400,20940352,848989,Census Tract 14,Florida,Alachua County,1035,102,950,107,85,39,8.2,3.680169047,67.1,9.877417601,24.7,7.943591117,950,107,694,123,256,86,73.1,9.996690353,26.9,8.528666768,736,103,114200,12646,28953661.95,34601.31088,663,138,1097,543,92700,5569,176900,38048
2882,12001001514,1617727,10031,Census Tract 15.14,Florida,Alachua County,1224,139,970,155,254,91,20.8,7.051263791,2,1.701175218,77.3,9.014682067,970,155,24,21,946,154,2.5,2.128541149,97.5,3.032327258,1249,379,178100,119906,2161916.893,7787.557506,1009,82,1943,168,,,196900,35981
2883,12001001515,1550523,6403,Census Tract 15.15,Florida,Alachua County,3494,361,2697,422,797,271,22.8,7.389417186,3.5,3.214261852,73.7,8.925876461,2697,422,121,113,2576,410,4.5,4.130612864,95.5,2.783808491,881,68,143900,16358,2067490.211,5855.286324,686,54,1104,85,130100,75091,158900,14524
2884,12001001516,524639,0,Census Tract 15.16,Florida,Alachua County,1488,177,1244,218,244,102,16.4,6.571466041,17.4,6.816132524,66.2,9.621444005,1244,218,259,106,985,185,20.8,7.700267512,79.2,5.350287487,1023,114,135500,25983,696572.0977,3425.491947,777,79,1341,180,111100,10510,164000,11351
2885,12001001517,1508688,770,Census Tract 15.17,Florida,Alachua County,2767,241,2377,279,390,173,14.1,6.130554063,7.6,3.036952108,78.3,7.178429809,2377,279,210,86,2167,274,8.8,3.46621769,91.2,4.286465167,1160,113,139700,18325,2004023.355,6475.908996,907,206,1555,293,120200,17796,165700,53058
2886,12001001519,1962044,7459,Census Tract 15.19,Florida,Alachua County,972,134,761,146,211,84,21.7,8.107270371,1,1.639968876,77.3,10.14819222,761,146,10,16,751,143,1.3,2.087327213,98.7,26.67525569,1163,81,,,2614818.08,7723.425005,928,103,1458,145,,,,
2891,12001001701,7918345,49789,Census Tract 17.01,Florida,Alachua County,3491,336,2966,343,525,229,15,6.398040785,32.7,5.194478469,52.3,8.036337721,2966,343,1141,212,1825,331,38.5,5.594453514,61.5,8.597027603,1610,258,206000,36803,10592998.64,15639.08277,846,271,3501,,170300,14443,298400,56263
2892,12001001702,7520642,104135,Census Tract 17.02,Florida,Alachua County,2455,452,2315,459,140,100,5.7,3.935678458,79.1,11.25377,15.2,6.293254149,2315,459,1943,452,372,169,83.9,10.21230737,16.1,6.568271448,675,520,265900,23039,10133533.37,15486.65172,559,39,1246,229,200200,23251,351900,35052
2894,12001001802,78183975,1050747,Census Tract 18.02,Florida,Alachua County,1365,201,1178,230,187,98,13.7,6.890246859,71.9,12.82820676,14.4,6.857741604,1178,230,981,227,197,98,83.3,10.34218166,16.7,7.651641566,778,197,122700,64854,105561229.3,55400.13453,627,201,999,496,,,230700,52473
2895,12001001803,8326485,32055,Census Tract 18.03,Florida,Alachua County,3040,243,2756,249,284,174,9.3,5.674761642,74.8,4.954407846,15.9,5.951530211,2756,249,2273,236,483,185,82.5,4.219393897,17.5,6.523207456,800,125,198800,19849,11119738.62,14690.20497,593,231,1375,580,148300,15395,262800,19546
2898,12001001811,14048696,252717,Census Tract 18.11,Florida,Alachua County,3218,319,3048,335,170,131,5.3,4.037027239,35.3,4.321274771,59.4,7.937116174,3048,335,1137,179,1911,318,37.3,4.204676463,62.7,7.833552688,1358,61,500300,102199,19019277.64,21489.92348,1033,323,1581,156,271000,35755,657800,43156
2899,12001001813,19561968,882619,Census Tract 18.13,Florida,Alachua County,1685,234,1647,240,38,47,2.3,2.771679618,86.2,8.556740882,11.5,5.22058543,1647,240,1453,248,194,92,88.2,7.8402388,11.8,5.315666019,1654,274,287900,11565,27203137.4,28913.94061,,,1929,701,244700,19256,368000,19870
2901,12001001902,19712002,127988,Census Tract 19.02,Florida,Alachua County,1528,213,1330,223,198,144,13,9.249351974,31.9,10.6978869,55.2,9.603893749,1330,223,487,177,843,188,36.6,11.80749912,63.4,9.320142287,910,105,12700,4693,26380643.95,34992.38966,632,118,1124,429,9999,,,
2902,12001001907,136949785,25784108,Census Tract 19.07,Florida,Alachua County,1454,261,1243,252,211,83,14.5,5.079382156,67.8,6.256299565,17.7,8.432475885,1243,252,986,199,257,131,79.3,22.69215635,20.7,9.66956379,558,114,119200,27106,216611850.6,79785.58877,,,830,480,80400,32009,237000,92139
2903,12001001908,270308553,6406701,Census Tract 19.08,Florida,Alachua County,2391,390,2158,408,233,146,9.7,5.895722647,68.3,10.43717512,22,9.956795054,2158,408,1633,365,525,253,75.7,9.021724087,24.3,10.78387387,726,408,172100,41798,368678976.4,91268.69481,589,92,1290,344,109300,19588,242300,27933
2905,12001002101,166362890,82335945,Census Tract 21.01,Florida,Alachua County,1035,160,833,143,202,85,19.5,7.638273101,61.1,9.001396581,19.4,7.954749616,833,143,632,135,201,88,75.9,9.644214539,24.1,9.718239152,778,19,252700,77587,253901232.7,214857.9822,712,206,875,117,170600,60930,367200,23346
2906,12001002102,57799970,16109955,Census Tract 21.02,Florida,Alachua County,576,128,490,130,86,44,14.9,6.880708892,63.2,18.10971749,21.9,5.89255651,490,130,364,132,126,44,74.3,18.36503294,25.7,5.838770204,830,335,182600,84956,97926965.76,48606.33139,529,292,986,88,,,297800,168367
2907,12001002201,86997127,923355,Census Tract 22.01,Florida,Alachua County,2281,228,2131,233,150,129,6.6,5.617084995,78.5,2.656711076,14.9,6.944108631,2131,233,1791,189,340,162,84,12.77124044,16,7.39919934,773,403,301900,26117,116903491.1,45043.59277,570,22,1278,314,214900,45074,384900,18108
2908,12001002202,112551690,10405,Census Tract 22.02,Florida,Alachua County,2711,304,2414,303,297,178,11,6.449892183,78.3,8.531616093,10.7,5.552466831,2414,303,2124,332,290,154,88,8.196349233,12,6.19868761,1680,1117,251000,66878,149431852.3,51259.5136,751,555,2379,1607,158000,16077,470900,119910
2909,12001002204,32306361,52182,Census Tract 22.04,Florida,Alachua County,4888,440,4521,478,367,241,7.5,4.883899202,69.5,6.835911529,23,6.598389622,4521,478,3398,453,1123,338,75.2,6.103263373,24.8,6.999758975,1601,143,371000,39382,43019445.7,29319.56387,1347,176,1838,86,255200,30560,467600,21871
2911,12001002207,5274494,10519,Census Tract 22.07,Florida,Alachua County,1520,208,1441,219,79,62,5.2,4.016463544,91.6,7.501086469,3.2,2.326976052,1441,219,1392,222,49,36,96.6,4.670368265,3.4,2.444229709,1840,399,300400,35762,7020957.115,11279.54738,1670,97,2529,1289,245300,21274,426300,32556
2912,12001002208,10500223,35041,Census Tract 22.08,Florida,Alachua County,1203,162,1097,167,106,75,8.8,6.120456957,82.5,15.03842168,8.7,10.32399887,1097,167,992,122,105,125,90.4,17.69720163,9.6,11.30116409,1708,133,436000,46216,13995729.44,14993.97155,1563,295,1854,67,294500,27323,632700,83498
2913,12001002209,123592710,3403088,Census Tract 22.09,Florida,Alachua County,3550,390,3504,391,46,43,1.3,1.202873609,81.5,7.161682303,17.2,4.704678749,3504,391,2893,407,611,180,82.6,7.073707919,17.4,4.754223127,1524,878,323000,30906,168315672.3,57802.79564,860,169,2110,282,195600,58232,419200,40495
2914,12001002210,148112038,6700262,Census Tract 22.10,Florida,Alachua County,2290,251,2131,255,159,103,6.9,4.432966558,81.8,5.25805178,11.3,7.098631803,2131,255,1873,238,258,165,87.9,3.757334227,12.1,7.606099987,867,262,245800,25156,205515340.2,77587.98839,596,423,1094,248,144500,47381,289400,14526
2915,12001002217,1739103,8317,Census Tract 22.17,Florida,Alachua County,3155,393,2375,479,780,257,24.7,7.541245499,9,3.43364206,66.2,13.56726927,2375,479,285,114,2090,501,12,4.145187693,88,11.40126947,957,42,82400,39947,2321593.793,8220.363254,843,40,1108,65,41600,19903,121500,47438
2916,12001002218,1645357,0,Census Tract 22.18,Florida,Alachua County,1224,136,1014,145,210,83,17.2,6.507575036,26.7,5.453631112,56.1,11.02130609,1014,145,327,76,687,155,32.2,5.908498919,67.8,11.82361949,946,30,184400,24456,2185531.174,6378.79145,847,45,1105,123,112600,15678,316800,132306
2917,12001002219,8317003,1419303,Census Tract 22.19,Florida,Alachua County,3129,310,2613,319,516,200,16.5,6.179484122,29.1,5.992107544,54.5,8.271206241,2613,319,909,208,1704,309,34.8,6.732629522,65.2,8.744175632,1139,90,117800,40070,12928066.99,14745.59081,898,102,1452,150,48300,40799,182900,71240
2918,12001002220,19264834,3006123,Census Tract 22.20,Florida,Alachua County,1097,138,902,129,195,94,17.8,8.27190367,63.6,7.185849841,18.6,7.958660002,902,129,698,118,204,91,77.4,6.975676867,22.6,9.556135668,1091,370,315700,78671,29553705.26,24641.46277,809,654,1428,909,164800,39717,476900,115173
2919,12001110800,6761866,34116,Census Tract 1108,Florida,Alachua County,999,107,883,122,116,80,11.6,7.910843006,42.4,6.100049411,45.9,9.85011526,883,122,424,76,459,110,48,5.48315816,52,10.17878196,1967,421,255600,31723,9021421.49,13962.83238,905,358,3501,,213900,10266,338800,28003
77797,12001000201,1238506,0,Census Tract 2.01,Florida,Alachua County,2232,362,1960,365,272,140,12.2,5.952865399,6.8,3.317903524,81,9.500244859,1960,365,151,78,1809,362,7.7,3.711983244,92.3,6.760116836,823,42,,,1645611.557,5609.210989,733,31,965,217,96200,47419,,
77798,12001000202,857504,0,Census Tract 2.02,Florida,Alachua County,1935,384,1690,404,245,136,12.7,6.563934236,15.6,6.141163551,71.8,16.30816486,1690,404,301,133,1389,419,17.8,6.61862125,82.2,15.12145635,1000,217,235100,23961,1139187.055,4920.102245,843,40,1440,961,203500,68201,270500,26442
77799,12001001522,4466868,12648,Census Tract 15.22,Florida,Alachua County,4358,336,3486,365,872,208,20,4.516635894,5.6,2.462991924,74.3,6.356069926,3486,365,246,109,3240,373,7.1,3.038238284,92.9,4.448059254,1006,100,117700,12966,5949283.008,10482.79227,773,33,1179,44,103600,25449,168800,43349
77800,12001001605,7946622,150344,Census Tract 16.05,Florida,Alachua County,4957,332,3886,401,1071,278,21.6,5.418324395,21.1,4.250120164,57.3,8.889942695,3886,401,1045,222,2841,480,26.9,4.993587253,73.1,9.780521326,1104,87,227700,33262,10757551.85,15719.0511,771,129,1376,134,174000,20420,349400,118458
77801,12001001815,121258817,1656460,Census Tract 18.15,Florida,Alachua County,814,121,715,115,99,97,12.2,11.77852292,83.2,5.753754163,4.7,4.988823494,715,115,677,111,38,41,94.7,3.013910045,5.3,5.670194369,,,247900,55521,164084960.2,74242.26693,,,,,160100,19443,357200,54434
77802,12001001816,125387124,1003858,Census Tract 18.16,Florida,Alachua County,2255,224,1831,246,424,207,18.8,8.987577518,64.6,9.310314315,16.6,8.669683952,1831,246,1457,255,374,199,79.6,8.925184062,20.4,10.5162023,925,525,283500,24408,168577874.2,94934.20576,613,300,2031,1267,162100,51608,367700,29012
77803,12001001817,49842259,1288969,Census Tract 18.17,Florida,Alachua County,2025,234,1860,231,165,109,8.1,5.299725437,76.4,6.500400073,15.5,7.443010975,1860,231,1547,222,313,155,83.2,5.979851787,16.8,8.06701081,1044,142,276400,24811,68067385.38,53062.72743,781,474,,,212300,21194,382500,42620
77804,12001001818,101744175,187670,Census Tract 18.18,Florida,Alachua County,1907,240,1730,228,177,128,9.3,6.609688906,77.2,7.751279268,13.5,4.737397859,1730,228,1472,237,258,96,85.1,7.869321173,14.9,5.189400409,825,486,232200,60815,135770419.3,48895.93304,514,180,1109,221,139900,23243,346400,27753
77805,12001001819,57112104,74430,Census Tract 18.19,Florida,Alachua County,2123,275,2004,297,119,96,5.6,4.463230439,59,8.397039752,35.4,14.85142585,2004,297,1252,241,752,330,62.5,7.674232826,37.5,15.49954322,1015,264,268800,32414,76148723.91,39343.07466,584,278,1178,97,193800,23110,357800,37771
77806,12001002001,143486282,60788181,Census Tract 20.01,Florida,Alachua County,796,136,608,122,188,155,23.6,19.0496619,64.3,12.75215779,12.1,8.031337438,608,122,512,134,96,66,84.2,14.14965229,15.8,10.38261643,,,201700,59613,230093417.4,211369.3179,,,1536,1480,76300,30894,246500,88990
77807,12001002002,176430836,24711710,Census Tract 20.02,Florida,Alachua County,1892,215,1649,215,243,108,12.8,5.518508811,70.8,8.245415331,16.3,4.437238967,1649,215,1340,218,309,91,81.3,7.906794091,18.7,4.948198232,775,286,178700,26113,257859938.1,75814.13034,455,72,1043,125,94700,20604,233600,17371
77808,12001002221,6103371,0,Census Tract 22.21,Florida,Alachua County,2226,327,2190,333,36,47,1.6,2.098002159,80,8.199155352,18.4,5.380742276,2190,333,1781,319,409,134,81.3,7.698251842,18.7,5.419834115,1716,96,332100,47506,8102737.854,13960.03818,1520,179,1911,101,246500,37907,457400,55436
77809,12001002222,18937739,1319,Census Tract 22.22,Florida,Alachua County,2979,297,2794,293,185,193,6.2,6.449032222,83.7,6.600583901,10.1,5.378731939,2794,293,2494,317,300,163,89.3,6.411079899,10.7,5.72423576,1441,267,421100,41975,25139944,22105.285,1330,56,2616,1477,325100,29427,587100,64991
